,store,sido,gungu,store_address
908,창동역점,서울특별시,도봉구,서울특별시 도봉구 노해로63다길 6 1층 103호
909,창신동점,서울특별시,종로구,"서울특별시 종로구 지봉로5길 12, 1층(창신동)"
910,창현점,경기도,남양주시,경기도 남양주시 화도읍 수레로 1234-26
911,천도리점,강원도,인제군,강원도 인제군 서화면 천도로94번길 1
912,천리점,경기도,용인시처인구,경기도 용인시처인구 이동면 백옥대로 623
913,천마점,경기도,남양주시,경기도 남양주시 화도읍 멋갓로28번길 39-2
914,천북점,충청남도,보령시,충청남도 보령시 천북면 하궁길 2
915,천안3점,충청남도,천안시동남구,충청남도 천안시동남구 봉정로 18
916,천안4점,충청남도,천안시동남구,충청남도 천안시동남구 중앙로 67
917,천안7단지점,충청남도,천안시서북구,충청남도 천안시서북구 쌍용11길 57
918,천안백석점,충청남도,천안시서북구,충청남도 천안시서북구 백석5길 23-1
919,천안신당점,충청남도,천안시서북구,충청남도 천안시서북구 천안대로 1229
920,천안신방점,충청남도,천안시동남구,충청남도 천안시동남구 서부대로  257-8
921,천안청룡점,충청남도,천안시동남구,충청남도 천안시동남구 구성2길 1(구성동)
922,천왕점,서울특별시,구로구,서울특별시 구로구 천왕로 56 천왕이펜하우스3단지 상가 1층 102호
923,천천2점,경기도,수원시장안구,경기도 수원시장안구 화산로 57 꽃뫼버들마을진흥아파트
924,천호점,서울특별시,강동구,"서울특별시 강동구 천중로18길 53, 1층 (천호동)"
925,철산2점,경기도,광명시,경기도 광명시 시청로 75-1
926,청당점,충청남도,천안시동남구,충청남도 천안시동남구 청수10길 12
927,청도점,경상북도,청도군,경상북도 청도군 청도읍 청화로 202-2
928,청라2점,인천광역시,서구,"인천광역시 서구 청라루비로144 6-6, 103호(경서동)"
929,청라점,충청남도,보령시,충청남도 보령시 청라면 당안길1
930,청라호수공원점,인천광역시,서구,인천광역시 서구 보석로11번길  12
931,청량리점,서울특별시,동대문구,"서울특별시 동대문구 왕산로 247, 1층(청량리동)"
932,청룡동점,서울특별시,관악구,서울특별시 관악구 청룡길 20
933,청림점,경상북도,포항시남구,경상북도 포항시남구 청림서길 29
934,청북신도시점,경기도,평택시,경기도 평택시 청북면 안청로 312-23
935,청북점,경기도,평택시,경기도 평택시 청북면 현곡2길 3
936,청양점,충청남도,청양군,충청남도 청양군 청양읍 중앙로 112-1
937,청일점,강원도,횡성군,강원도 횡성군 청일면 유동로 18
